Gender,Location,Transaction_ID,Product_Category,Quantity,Coupon_Status,Date,Offline_Spend,Online_Spend,Coupon_Code
M,Chicago,16846,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16847,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16849,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16851,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16853,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16854,Nest-USA,4,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16856,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16857,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16859,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16861,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16863,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16865,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16869,Nest-USA,one,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16869,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16870,Nest-USA,one,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16871,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16872,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16874,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16875,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16876,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,New Jersey,16888,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16890,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16896,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16897,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16907,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16910,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,California,16912,Nest-USA,5,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16914,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16915,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,California,16916,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16917,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16918,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16918,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16919,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16920,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16920,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16923,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16924,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16925,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16926,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16926,Nest-USA,two,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16928,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16929,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16930,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16931,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16932,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16934,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16935,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16938,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,California,16939,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
,,,,,,,,,
,,,,,,,,,
F,California,16939,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16942,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16943,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16946,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,California,16947,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16948,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,California,16949,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16949,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16950,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,California,16951,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16952,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16953,Nest-USA,4,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16955,Nest-USA,5,Not Used,01-03-2019,4500,1576.38,ELEC10
F,Washington DC,16957,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16958,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16959,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16959,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16960,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16963,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16964,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16964,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16964,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16966,Nest-USA,3,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16969,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16969,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16971,Nest-USA,2,Not Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16971,Nest-USA,3,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16972,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16975,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16975,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16976,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16976,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16980,Nest-USA,3,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16984,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
M,Chicago,16984,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
M,Chicago,16987,Nest-USA,5,Not Used,01-04-2019,4500,2928.55,ELEC10
M,Chicago,16982,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
M,Chicago,16982,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,16994,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17000,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17003,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17004,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17006,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17009,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17009,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17010,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17011,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17014,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17019,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17020,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17021,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17022,Nest-USA,3,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17022,Nest-USA,2,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17022,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17023,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17024,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17025,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17026,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
1,ghyh,7ujmn,,,,,,,
F,California,17031,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17034,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17035,Nest-USA,3,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17038,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17039,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17040,Nest-USA,2,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17044,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17046,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17049,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17054,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17055,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17056,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17057,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17057,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17060,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17061,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17063,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17064,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17066,Nest-USA,2,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17068,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17068,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17072,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17073,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17074,Nest-USA,2,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17074,Nest-USA,3,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17075,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17076,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17077,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17082,Nest-USA,1,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17083,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17084,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
F,California,17085,Nest-USA,2,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17087,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17088,Nest-USA,1,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17090,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17094,Nest-USA,3,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17094,Nest-USA,2,Used,01-04-2019,4500,2928.55,ELEC10
F,California,17095,Nest-USA,2,Clicked,01-04-2019,4500,2928.55,ELEC10
F,California,17096,Nest-USA,1,Not Used,01-04-2019,4500,2928.55,ELEC10
M,Chicago,18018,Nest-USA,4,Clicked,1/16/2019,3000,3727.61,ELEC10
M,Chicago,18020,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17949,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17954,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17955,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17956,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17957,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17959,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17960,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17961,Nest-USA,4,Not Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17962,Nest-USA,2,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17965,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17967,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17970,Nest-USA,2,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17971,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17973,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17974,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17975,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17976,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17976,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17978,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17983,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17983,Nest-USA,5,Clicked,1/16/2019,3000,3727.61,ELEC10
F,Chicago,17984,Nest-USA,3,Clicked,1/16/2019,3000,3727.61,ELEC10
M,New York,17988,Nest-USA,2,Used,1/16/2019,3000,3727.61,ELEC10
M,New York,17994,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,New York,17995,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,California,17996,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
M,California,17996,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,California,17998,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,California,18001,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
M,California,18002,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,California,18004,Nest-USA,2,Not Used,1/16/2019,3000,3727.61,ELEC10
M,California,18005,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
M,California,18006,Nest-USA,1,Not Used,1/16/2019,3000,3727.61,ELEC10
M,California,18007,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,California,18008,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
M,New Jersey,18011,Nest-USA,2,Not Used,1/16/2019,3000,3727.61,ELEC10
M,New Jersey,18012,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
M,New Jersey,18012,Nest-USA,3,Used,1/16/2019,3000,3727.61,ELEC10
F,New York,18013,Nest-USA,2,Clicked,1/16/2019,3000,3727.61,ELEC10
F,New York,18014,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,New York,18015,Nest-USA,1,Clicked,1/16/2019,3000,3727.61,ELEC10
F,New York,18015,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
F,New York,18015,Nest-USA,1,Used,1/16/2019,3000,3727.61,ELEC10
M,Chicago,18021,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18022,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18023,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18025,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18027,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18029,Nest-USA,4,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18030,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18034,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18035,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18036,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18073,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18074,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18076,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18076,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18077,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18077,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18078,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18080,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18095,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18096,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18097,Nest-USA,3,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18097,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
M,Chicago,18101,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,California,18037,Nest-USA,3,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18037,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18039,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18047,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,California,18048,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18049,Nest-USA,3,Used,1/17/2019,3000,417.73,ELEC10
M,California,18050,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18051,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18052,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18052,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
M,California,18053,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
M,California,18054,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18055,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
F,Chicago,18057,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18059,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,Chicago,18060,Nest-USA,4,Used,1/17/2019,3000,417.73,ELEC10
F,Chicago,18062,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
F,Chicago,18063,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18067,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18069,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,Chicago,18069,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18069,Nest-USA,2,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18070,Nest-USA,4,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18071,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18090,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18090,Nest-USA,3,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18091,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18092,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18092,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18093,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18103,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18104,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
F,New York,18105,Nest-USA,1,Not Used,1/17/2019,3000,417.73,ELEC10
F,New York,18106,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18106,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18106,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18111,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18111,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18117,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18118,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
F,New York,18120,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18121,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,New York,18122,Nest-USA,2,Not Used,1/17/2019,3000,417.73,ELEC10
M,California,18124,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18124,Nest-USA,2,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18124,Nest-USA,3,Used,1/17/2019,3000,417.73,ELEC10
M,California,18124,Nest-USA,5,Used,1/17/2019,3000,417.73,ELEC10
M,California,18125,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,California,18128,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18130,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18134,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
M,California,18137,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18139,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18139,Nest-USA,1,Clicked,1/17/2019,3000,417.73,ELEC10
F,Chicago,18141,Nest-USA,1,Used,1/17/2019,3000,417.73,ELEC10
M,Chicago,18210,Nest-USA,2,Clicked,1/18/2019,3000,1312.5,ELEC10
M,Chicago,18212,Nest-USA,1,Not Used,1/18/2019,3000,1312.5,ELEC10
